ISIN,assetName,assetShortName,assetCategory,assetSubCategory,marketID,sector,industry,timestamp
GRF000011004,DHLOS PET OTE,DELPOIB,MTF,Balanced,AEDAK,,,2018-01-02
GRF000014008,DELOS FIXED INCOME PLUS - BOND FUND,DELDBDF,MTF,Structured,AEDAK,,,2018-01-02
GRF000022001,ΔΗΛΟΣ ΒΡΑΧΥΠΡΟΘΕΣΜΩΝ & ΜΕΣΟΠΡΟΘΕΣΜΩΝ ΕΠΕΝΔΥΣΕΩΝ-ΟΜ,DELPIMM,MTF,Money Market,AEDAK,,,2018-01-02
GRF000023009,DHLOS EISODHMATOS OMOLOGIAKO ESOTERIKOY,DELFXIB,MTF,Bond,AEDAK,,,2018-01-02
GRF000024007,DHLOS EUROBOND,DELEURB,MTF,Bond,AEDAK,,,2018-01-02
GRF000025004,DELUBFB Delos USD Bond Fund,DELUBFB,MTF,Bond,AEDAK,,,2018-01-02
GRF000029006,DELSBBF Delos Synthesis Best Blue - Bond Fund of F,DELSBBF,MTF,Bond,AEDAK,,,2018-01-02
GRF000030004,DELOS USD-INTERNATIONAL BD,DELIBMF,MTF,Bond,AEDAK,,,2018-01-02
GRF000031002,DHLOS MIKTO AMOIVAIO KEFALAIO,DELDMBL,MTF,Balanced,AEDAK,,,2018-01-02
GRF000032000,DHLOS STRATEGIC INVESTMENTS,DELSIBF,MTF,Balanced,AEDAK,,,2018-01-02
GRF000034006,DELOS UNION FUND-BALANCED FD,DELSYDB GA,MTF,Balanced,AEDAK,,,2018-01-02
GRF000036001,A/K  DHLOS SYNTHESIS BEST YELLOW FUNDS OF FUND ΜΙΚ,DELSBYF,MTF,Balanced,AEDAK,,,2018-01-02
GRF000037009,DHLOS BLUE CHIPS,DELBCDE,MTF,Equity,AEDAK,,,2018-01-02
GRF000038007,DHLOS SMALL CAP,DELSCDE,MTF,Equity,AEDAK,,,2018-01-02
GRF000045002,DHLOS SYNTHESIS BEST FUND OF FUNDS ΜΕΤΟΧΙΚΟ,DELSBRE,MTF,Money Market,AEDAK,,,2018-01-02
GRF000084001,N.P.INSURANCE ΝΕΟΣ ΠΟΣΕΙΔΩΝ ΜΙΚΤΟ,NPINSMIK,MTF,Balanced,AEDAK,,,2018-01-02
GRF000093002,DELOS GREEK GROW-DOMEST BOND,DELGRGR,MTF,Bond,AEDAK,,,2018-01-02
GRF000394004,DELOS EXTRA INCOME 5year-Bond Fund,,MTF,Bond,AEDAK,,,2022-10-31
IE00B1FZS681,iShares € Govt Bond 3-5yr UCITS ETF EUR (Dist) | IBGX,UNK_448,MTF,Bond,ALXA,,,2018-01-02
NL0010273215,ASML Holding NV,UNK_753,Stock,,ALXA,Technology,Semiconductor Equipment & Materials,2018-01-02
BE0974271034,VIOHALCO SA,VIO,Stock,,ALXB,Industrials,Metal Fabrication,2018-01-02
BE0974293251,Anheuser-Busch InBev SA/NV,UNK_15,Stock,,ALXB,Consumer Defensive,Beverages - Brewers,2018-01-02
FR0000121014,LVMH Moet Hennessy Louis Vuitton SE,MOH,Stock,,ALXP,Consumer Cyclical,Luxury Goods,2018-01-02
FR0000121501,Peugeot S.A.,UG,Stock,,ALXP,,,2018-01-02
FR0000125007,Compagnie de Saint-Gobain SA,UNK_96,Stock,,ALXP,Industrials,Building Products & Equipment,2018-01-02
FR0000131104,BNP Paribas,UNK_98,Stock,,ALXP,Financial Services,Banks - Regional,2018-01-02
FR0000131906,Renault SA,UNK_99,Stock,,ALXP,Consumer Cyclical,Auto Manufacturers,2018-01-02
FR0000133308,Orange SA,UNK_100,Stock,,ALXP,Communication Services,Telecom Services,2018-01-02
FR0007054358,Lyxor Euro Stoxx 50 (DR) UCITS ETF Acc | MSE,UNK_101,MTF,Equity,ALXP,,,2018-01-02
FR0010315770,Lyxor MSCI World UCITS ETF Dist | WLD,UNK_102,MTF,Equity,ALXP,,,2018-01-02
FR0010510800,Lyxor Euro Overnight Return UCITS ETF Acc | CSH,UNK_107,MTF,Money Market,ALXP,,,2018-01-02
FR0011993179,France,UNK_110,Bond,Government,ALXP,Sovereign,,2018-01-01
LU0006061385,BlackRock Global Funds - Global Government Bond Fund A2 USD,UNK_515,MTF,Bond,CCLX,,,2020-02-03
LU0006061419,MIGSDRI BlackRock Global Funds - US Dollar Reserve,MIGSDRI,MTF,Bond,CCLX,,,2018-01-02
LU0006277684,UBSMUSI UBS Lux Money Market Fund - USD,UBSMUSI,MTF,Bond,CCLX,,,2018-01-02
LU0006344922,UBSMECI UBS Lux Money Market Fund - EUR,UBSMECI,MTF,Bond,CCLX,,,2018-01-02
LU0006391097,UBS (Lux) Equity Fund - European Opportunity Sustainable (EUR) P-acc,UNK_518,MTF,Equity,CCLX,,,2018-01-02
LU0011850392,BlackRock Global Funds - Emerging Europe Fund A2,UNK_519,MTF,Equity,CCLX,,,2018-01-02
LU0012186622,BNP Paribas Funds USD Money Market Classic C,UNK_521,MTF,Money Market,CCLX,,,2018-01-02
LU0033040600,UBS (Lux) Strategy Fund - Yield Sustainable (EUR) P-dist,UNK_522,MTF,Other,CCLX,,,2018-01-02
LU0033043885,SBCUYBI UBS Lux Strategy Fund - Yield USD,SBCUYBI,MTF,Bond,CCLX,,,2018-01-02
LU0033050237,UBS (Lux) Bond Fund - EUR Flexible P-acc,UNK_526,MTF,Bond,CCLX,,,2018-01-02
LU0047713382,BlackRock Global Funds - Emerging Markets Fund A2,UNK_528,MTF,Equity,CCLX,,,2018-01-02
LU0049785446,UBS (Lux) Strategy Fund - Balanced Sustainable (EUR) P-acc,UNK_529,MTF,Other,CCLX,,,2018-01-02
LU0049785792,UBS (Lux) Strategy Fund - Balanced Sustainable (USD) P-acc,UNK_530,MTF,Other,CCLX,,,2018-01-02
LU0050372472,MIGSEBI BlackRock Global Funds - Euro Bond Fund,MIGSEBI,MTF,Equity,CCLX,,,2018-01-02
LU0053903380,Schroder International Selection Fund Global Corporate Bond A Distribution USD MV,UNK_532,MTF,Bond,CCLX,,,2018-01-02
LU0055631609,BlackRock Global Funds - World Gold Fund A2,GOLD,Stock,,CCLX,Sector Equity Precious Metals,,2018-01-02
LU0055631609,BlackRock Global Funds - World Gold Fund A2,GOLD,MTF,Equity,CCLX,,,2018-01-02
LU0072462186,BlackRock Global Funds - European Value Fund A2,UNK_535,MTF,Equity,CCLX,,,2018-01-02
LU0072462426,BlackRock Global Funds - Global Allocation Fund A2,UNK_536,MTF,Other,CCLX,,,2018-01-02
LU0083138064,PARSTCA Parvest Money Market Euro,PARSTCA,MTF,Bond,CCLX,,,2018-01-02
LU0085995990,UBS (Lux) Bond Fund - Euro High Yield (EUR) P-dist,UNK_540,MTF,Bond,CCLX,,,2018-01-02
LU0086177085,UBS (Lux) Bond Fund - Euro High Yield (EUR) P-acc,UNK_541,MTF,Bond,CCLX,,,2018-01-02
LU0093503497,BlackRock Global Funds - ESG Multi-Asset Fund A2 EUR,UNK_546,MTF,Other,CCLX,,,2018-01-02
LU0093503810,BlackRock Global Funds - Euro Short Duration Bond Fund A2 EUR,UNK_547,MTF,Bond,CCLX,,,2018-01-02
LU0106234643,Schroder International Selection Fund EURO Short Term Bond A Accumulation EUR,UNK_551,MTF,Bond,CCLX,,,2018-01-02
LU0106258311,Schroder International Selection Fund Global Corporate Bond A Accumulation USD,UNK_554,MTF,Bond,CCLX,,,2018-01-02
LU0113257694,Schroder International Selection Fund EURO Corporate Bond A Accumulation EUR,UNK_556,MTF,Bond,CCLX,,,2018-01-02
LU0128497889,Pictet-Short-Term Money Market USD R,UNK_563,MTF,Money Market,CCLX,,,2018-01-02
LU0130799603,UBS Lux Equity Fund - Global Sustainable Innovators,UNK_1035,MTF,Equity,CCLX,,,2018-01-02
LU0162658883,BlackRock Global Funds - Euro Corporate Bond Fund A2,UNK_572,MTF,Bond,CCLX,,,2018-01-02
LU0165915058,Allianz Global Investors Fund - Allianz Euro Bond AT EUR,UNK_579,MTF,Bond,CCLX,,,2018-01-02
LU0167160653,PICTET-EUR SHORT MT BDS-R INC,PIFESMR,MTF,Bond,CCLX,,,2018-01-02
LU0167236651,BNP Paribas InstiCash GBP 1d Short Term VNAV,UNK_1038,MTF,Other,CCLX,,,2018-01-02
LU0167237543,BNPICMC BNP Paribas InstiCash EUR,BNPICMC,MTF,Bond,CCLX,,,2018-01-02
LU0167238863,BNPIMUC BNP Paribas InstiCash USD,BNPIMUC,MTF,Bond,CCLX,,,2018-01-02
LU0171275786,BGF Emerging Markets Fund A2 EUR,MIGSEII,MTF,Equity,CCLX,,,2018-01-02
LU0171283459,BlackRock Global Funds - Global Allocation Fund A2 (EUR),UNK_588,MTF,Other,CCLX,,,2018-01-02
LU0171304719,BlackRock Global Funds - World Financials Fund A2 (EUR),UNK_591,MTF,Equity,CCLX,,,2018-01-02
LU0171305526,BlackRock Global Funds - World Gold Fund A2 (EUR),UNK_592,MTF,Equity,CCLX,,,2018-01-02
LU0171307068,BlackRock Global Funds - World Healthscience Fund A2 (EUR),UNK_593,MTF,Equity,CCLX,,,2018-01-02
LU0171310443,BGF World Technology Fund A2 EUR,MWOTEEA,MTF,Equity,CCLX,,,2018-01-02
LU0172394222,BlackRock Global Funds - Euro Corporate Bond Fund A3 EUR,UNK_596,MTF,Bond,CCLX,,,2018-01-02
LU0172396516,BlackRock Global Funds - Euro Bond Fund A3,UNK_597,MTF,Bond,CCLX,,,2018-01-02
LU0184696937,BlackRock Global Funds - Sustainable World Bond Fund A2 USD,UNK_601,MTF,Bond,CCLX,,,2018-01-02
LU0204480833,Allianz Asia-Pacific Equity A EUR Dis,UNK_1039,MTF,Equity,CCLX,,,2018-01-02
LU0212175227,BNP Paribas Funds EURO Short Term Bond Opportunities Classic Capitalisation,UNK_1040,MTF,Bond,CCLX,,,2018-01-02
LU0212925753,MGHMLA2 BlackRock Global Funds - Global Allocation,MGHMLA2,MTF,Bond,CCLX,,,2018-01-02
LU0243957825,Invesco Funds SICAV - Invesco Euro Corporate Bond Fund A Accumulation EUR,UNK_612,MTF,Bond,CCLX,,,2018-01-02
LU0248271941,BlackRock Global Funds - India Fund A2 (EUR),UNK_614,MTF,Equity,CCLX,,,2018-01-02
LU0265268689,BNP Paribas Funds Equity Russia Opportunities Classic Capitalisation USD,UNK_1042,MTF,Equity,CCLX,,,2018-01-03
LU0325598166,BNP Paribas Funds Enhanced Bd 6M Classic Capitalisation,UNK_633,MTF,Bond,CCLX,,,2018-01-02
LU0391944815,Pictet-Global Megatrend Selection R EUR,UNK_639,MTF,Equity,CCLX,,,2018-01-02
LU0432365988,BGF Euro Reserve Fund A2 EUR,BLRERA2,MTF,Bond,CCLX,,,2018-01-02
LU0432616737,Invesco Funds SICAV - Invesco Balanced-Risk Allocation Fund A Accumulation EUR,UNK_647,MTF,Other,CCLX,,,2018-01-02
LU0482498762,Invesco Funds SICAV - Invesco Balanced-Risk Allocation Fund A (USD Hedged) Accumulation USD,UNK_656,MTF,Other,CCLX,,,2018-01-02
LU0494093205,BlackRock Global Funds - ESG Multi-Asset Fund A2 USD Hedged,UNK_657,MTF,Other,CCLX,,,2018-01-02
LU0503635624,Pictet - SmartCity R dy USD,UNK_660,MTF,Equity,CCLX,,,2018-01-02
LU0545039389,BlackRock Global Funds - Global Equity Income Fund A2,UNK_662,MTF,Equity,CCLX,,,2018-01-02
LU0561744862,BlackRock Global Funds - European Equity Income Fund A5G EUR,UNK_665,MTF,Equity,CCLX,,,2018-01-02
LU0562822386,BlackRock Global Funds - European Equity Income Fund A2,UNK_666,MTF,Equity,CCLX,,,2018-01-02
LU0736302315,Pictet-EUR Short Term High Yield HR USD,UNK_675,MTF,Bond,CCLX,,,2018-01-02
LU0757360960,Schroder International Selection Fund Global Multi-Asset Income A Distribution EUR Hedged QV,AHI,MTF,Other,CCLX,,,2018-01-02
LU0776413196,Schroder International Selection Fund Sustainable Conservative A Accumulation EUR,UNK_678,MTF,Other,CCLX,,,2018-01-02
LU0823427611,BNP Paribas Equity Germany NOK 2,UNK_1055,MTF,Equity,CCLX,,,2018-01-02
LU0823431720,BNP Paribas Funds Russia Equity Classic Capitalisation,UNK_692,MTF,Equity,CCLX,,,2018-01-03
LU0823449425,BNP Paribas Funds Commodities Classic H EUR Capitalisation,UNK_1057,MTF,Other,CCLX,,,2018-01-02
LU0830747522,Amundi Funds II - Global Equity Target Income A USD Class D,UNK_1058,MTF,Equity,CCLX,,,2018-01-02
LU0953782009,European Investment Bank (EIB),UNK_701,Bond,Corporate,CCLX,Corporate,Banks,2018-01-02
LU0955662357,Schroder International Selection Fund Asian Dividend Maximiser A Accumulation EUR,UNK_704,MTF,Equity,CCLX,,,2018-01-02
LU1081987536,UBS Lux Equity SICAV Emerging Markets High Dividend EUR Hedged P-acc,UNK_1060,MTF,Equity,CCLX,,,2018-01-02
XS1085735899,Portugal,UNK_928,Bond,Government,CCLX,Sovereign,,2018-11-16
CY0109232112,CAIRO MEZZ PLC,ΚΑΙΡΟΜΕΖ,Stock,,ENAX,Financial Services,Capital Markets,2020-09-29
CY0109561015,PHOENIX VEGA MEZZ PLC (CR),ΦΒΜΕΖΖ,Stock,,ENAX,Financial Services,Asset Management,2021-08-12
CY0200222111,SUNRISEMEZZ PLC,ΣΑΝΜΕΖΖ,Stock,,ENAX,Financial Services,Credit Services,2022-10-31
CY0200252118,GALAXY COSMOS MEZZ PLC,ΓΚΜΕΖΖ,Stock,,ENAX,Financial Services,Asset Management,2022-10-31
GRC422116743,"MLS MULTIMEDIA SA BOND MLSGA 5,30 07/11/20",ΜΛΣΟ1,Bond,Corporate,ENAX,Corporate,IT Services and Computer Programming,2018-01-02
GRC4221178B3,"MLS INNOVATION INC 5,30 08/31/22",ΜΛΣΟ2,Bond,Corporate,ENAX,Corporate,IT Services and Computer Programming,2018-01-02
GRC4221197B3,MLS MULTIMEDIA S.A. MLSB3 4.30 25/07/24,ΜΛΣΟ3,Bond,Corporate,ENAX,Corporate,IT Services and Computer Programming,2019-08-02
GRC815117CD9,DELTA TECHNIKI S.A,ΔΕΛΤΕΧΟ1,Bond,Corporate,ENAX,Corporate,Miscellaneous Construction,2018-02-02
GRS498003003,EPSILON NET S.A. (CR),ΕΠΣΙΛ,Stock,,ENAX,Technology,Software - Application,2018-01-02
GRS500003009,MEDITERRA S.A. (CR),ΜΑΣΟΠ,Stock,,ENAX,Consumer Defensive,Household & Personal Products,2018-01-02
GRS501003008,EUROXX SECURITIES SA,ΕΧ,Stock,,ENAX,Financial Services,Financial Data & Stock Exchanges,2018-01-02
GRS502003007,DOPPLER S.A. (CR),ΝΤΟΠΛΕΡ,Stock,,ENAX,Industrials,Specialty Industrial Machinery,2018-01-02
GRS504003021,ALPHA TRUST MUTUAL FUND AND ALTERNATIVE INVESTMENT,ΑΤΡΑΣΤ,Stock,,ENAX,Financial Services,Asset Management,2018-01-02
GRS505003004,PERFORMANCE TECHN/GIES Α.Ε.-ΚΟ,ΠΕΡΦ,Stock,,ENAX,Technology,Information Technology Services,2018-01-02
GRS506003003,OPTRONICS TECHNOLOGIES S.A. (CR),ΟΠΤΡΟΝ,Stock,,ENAX,Technology,Communication Equipment,2018-01-02
GRS507003002,KRITON ARTOS SA,ΚΡΗΤΩΝ,Stock,,ENAX,,,2018-01-02
GRS510003015,FOODLINK S.A. (SR),ΦΟΥΝΤΛ,Stock,,ENAX,Industrials,Integrated Freight & Logistics,2018-01-02
GRS511003006,VIDAVO S.A.,ΒΙΝΤΑ,Stock,,ENAX,Healthcare,Health Information Services,2018-01-02
GRS512003005,DIVERSA COMMERCIAL IMPORTS TECH SERVICES S.A.,ΟΡΑΟΡΑ,Stock,,ENAX,,,2018-01-02
GRS522003003,REAL CONSULTING IT BUSINESS SOLUTIONS SA,REALCONS,Stock,,ENAX,Technology,Information Technology Services,2021-08-06
PTOTEQOE0015,Portugal,UNK_756,Bond,Government,ENXL,Sovereign,,2019-04-12
GR0114031561,"HELLENIC REPUBLIC GGB 3,45 04/02/24","GGB 3,45 04/02/24",Bond,Government,HDAT,Sovereign,,2019-01-30
GR0114032577,Greece,UNK_126,Bond,Government,HDAT,Sovereign,,2021-05-12
GR0118019679,"HELLENIC REPUBLIC GGB 1,875 23/07/26","GGB 1,875 23/07/26",Bond,Government,HDAT,Sovereign,,2019-07-23
GR0118020685,HELLENIC REPUBLIC  BONDS GGB 2 04/22/27,GGB 2 04/22/27,Bond,Government,HDAT,Sovereign,,2020-04-15
GR0124035693,"HellenicRep.Gov.Bond GGB 3,875 03/12/29","GGB 3,875 03/12/29",Bond,Government,HDAT,Sovereign,,2019-03-05
GR0124036709,"HELLENIC REPUBLIC GGB 1,50 06/18/30","GGB 1,50 06/18/30",Bond,Government,HDAT,Sovereign,,2020-06-09
GR0124037715,"HELLENIC REPUBLIC GGB 0,75 06/18/31","GGB 0,75 06/18/31",Bond,Government,HDAT,Sovereign,,2021-02-05
GR0124038721,"HELLENIC REPUBLIC GGB 1,75 06/18/32","GGB 1,75 06/18/32",Bond,Government,HDAT,Sovereign,,2022-01-20
GR0128016731,"GGB 1,875 02/04/35 HellenicRep.Gov.Bond","GGB 1,875 02/04/35",Bond,Government,HDAT,Sovereign,,2020-02-03
GR0138017836,"HELLENIC REPUBLIC GGB 1,875 01/24/52","GGB 1,875 01/24/52",Bond,Government,HDAT,Sovereign,,2021-03-17
GR0514024216,HELLENIC REPUBLIC GGB FLOAT 12/15/27,GGB FLOAT 12/15/27,Bond,Government,HDAT,Sovereign,,2022-07-25
IE00BKWD3966,Invesco Euro Corporate Hybrid Bond UCITS ETF Inc | EHBD,UNK_481,MTF,Bond,MTAA,,,2021-07-09
IE00BYM11K57,UBS (Irl) Fund Solutions plc - MSCI ACWI SF UCITS ETF (hedged to EUR) A-acc | ACWIE,UNK_494,MTF,Equity,MTAA,,,2018-01-02
IT0000366655,Italy,UNK_501,Bond,Government,MTAA,Sovereign,,2022-03-30
IT0005030504,Italy,UNK_502,Bond,Government,MTAA,Sovereign,,2018-01-01
IT0005239360,UniCredit SpA,UNK_504,Stock,,MTAA,Financial Services,Banks - Regional,2018-01-02
IT0005252520,Italy,UNK_505,Bond,Government,MTAA,Sovereign,,2018-11-07
IT0005277444,Italy,UNK_506,Bond,Government,MTAA,Sovereign,,2018-01-01
IT0005344335,Italy,UNK_510,Bond,Government,MTAA,Sovereign,,2018-12-21
IT0005402117,Italy,UNK_511,Bond,Government,MTAA,Sovereign,,2020-02-13
IT0005482309,Italy,UNK_512,Bond,Government,MTAA,Sovereign,,2022-03-30
PTOTESOE0013,Portugal,UNK_757,Bond,Government,PORT,Sovereign,,2018-12-28
MHY1771G1364,Costamare Inc,UNK_751,Stock,,OOTC,Industrials,Marine Shipping,2018-01-02
US00206REJ77,AT&T Inc,UNK_760,Bond,Corporate,OOTC,Corporate,Communication Services,2018-04-30
XS1208856341,Bulgaria,UNK_932,Bond,Government,OOTC,Sovereign,,2018-01-31
XS1428088626,Croatia,UNK_948,Bond,Government,OOTC,Sovereign,,2018-01-31
IE00BKPSFD61,iShares China CNY Bond UCITS ETF USD Acc | CYBA,UNK_480,MTF,Bond,XAMS,,,2021-06-25
IE00BYPC1H27,iShares China CNY Bond UCITS ETF USD (Dist) | CNYB,UNK_495,MTF,Bond,XAMS,,,2019-12-09
IE00B19Z9Z06,Legg Mason ClearBridge US Aggressive Growth Fund Class A US$ Accumulating,UNK_447,MTF,Equity,XASM,,,2018-01-02
IE00BQQPSF11,Franklin Multi-Asset Conservative Fund A USD Accumulation,UNK_491,MTF,Other,XASM,,,2018-01-02
AU3CB0237725,Hyundai Capital Services,UNK_3,Bond,Corporate,XASX,Corporate,Leasing and Rental,2018-01-02
AU3CB0258465,Westpac Banking,UNK_7,Bond,Corporate,XASX,Corporate,Banks,2019-04-12
100974271034,VIOHALCO SA (el-GR),ΒΙΟ,Stock,Large Cap,XATH,,,2018-01-02
BE0974303357,CENERGY HOLDINGS SA,CENER,Stock,,XATH,Industrials,Electrical Equipment & Parts,2018-01-02
CH0198251305,COCA COLA HELLENIC BOTTLING CO AG,ΕΕΕ,Stock,Large Cap,XATH,Consumer Defensive,Beverages - Non-Alcoholic,2018-01-02
GRC1441197B3,ATTICA HOLDINGS S.A.,ΑΤΤΙΚΑΟ1,Bond,Corporate,XATH,Corporate,Marine Transportation,2019-07-29
GRC1451184D4,"GEK TERNA HOLDING, REAL ESTATE, CONSTRUCTION S.A.",ΓΕΚΤΕΡΝΑΟ1,Bond,Corporate,XATH,Corporate,Miscellaneous Construction,2018-04-05
GRC2451227D9,LAMDA DEVELOPMENT SA,ΛΑΜΔΑΟ2,Bond,Corporate,XATH,Corporate,Miscellaneous Construction,2022-07-13
GRC281121BD8,ELVALHALCOR HELLENIC COPPER AND ALUMINIUM INDUSTRY S.A.,ΕΛΧΑΟ1,Bond,Corporate,XATH,Corporate,Non-Ferrous Metals,2021-11-17
GRC3931176B0,MYTILINEOS HOLDINGS S.A.,ΜΥΤΙΛΟ1,Bond,Corporate,XATH,Corporate,Other Sectors,2018-01-02
GRC419120AD7,GREEK ORGANISATION OF FOOTBALL PROGNOSTICS S.A.,ΟΠΑΠΟ2,Bond,Corporate,XATH,Corporate,Hotels and Lodging,2020-10-29
GRC4261213D5,MOTOR OIL HELLAS CORINTH REFINERIES SA,ΜΟΗΟ1,Bond,Corporate,XATH,Corporate,Oil and Gas Extraction and Refining,2021-03-24
GRC4951193D4,AEGEAN AIRLINES S.A.,ΑΡΑΙΓΟ1,Bond,Corporate,XATH,Corporate,Air Transportation,2019-03-13
GRC4971221B3,PREMIA PROPERTIES SA,ΠΡΕΜΙΑΟ1,Bond,Corporate,XATH,Corporate,Domestic and Commercial Construction,2022-01-26
GRC5091217D9,PRODEA R.E.I.C. S.A.,ΠΡΟΝΤΕΑΟ1,Bond,Corporate,XATH,Corporate,Real Estate Investment and Services,2021-07-21
GRC5211214B5,COSTAMARE PARTICIPATIONS PLC,CMPB1,Bond,Corporate,XATH,Corporate,Other Financial Institutions,2021-05-26
GRC8081169B2,HOUSEMARKET BOND,ΧΑΟΥΣΜΟ1,Bond,Corporate,XATH,Corporate,Miscellaneous Wholesale and Retail Trade,2018-01-02
GRC8121176B9,SYSTEMS SUNLIGHT INDUSTRIAL AND COMMERCIAL COMPANY,ΣΑΝΛΟ1,Bond,Corporate,XATH,Corporate,Power,2018-01-02
GRC8131177B5,TERNA ENERGY FINANCE S.A,ΤΕΝΕΡΓΧΟ1,Bond,Corporate,XATH,Corporate,Power,2018-01-02
GRC813119AD1,TERNA ENERGY FINANCE S.A.,ΤΕΝΕΡΓΧΟ2,Bond,Corporate,XATH,Corporate,Power,2019-10-23
GRC8161185B1,CORAL A.E. OIL AND CHEMICALS COMPANY,ΚΟΡΑΛΟ1,Bond,Corporate,XATH,Corporate,Oil and Gas Extraction and Refining,2018-05-14
GRC8161185B1,CORAL A.E. OIL AND CHEMICALS COMPANY,ΚΟΡΑΛΟ1,Bond,Corporate,XATH,Corporate,Oil and Gas Extraction and Refining,2018-05-15
GRC8171186B7,B&F COMMERCIAL & GARMENT INDUSTRIES S.A.,ΒΚΑΙΦΟ1,Bond,Corporate,XATH,Corporate,Miscellaneous Wholesale and Retail Trade,2018-06-27
GRC8231227D3,CPLP SHIPPING HOLDINGS PLC,CPLPB2,Bond,Corporate,XATH,Corporate,Marine Transportation,2022-07-27
GRF000153004,ALPHA ETF FTSE ATHEX LARGE CAP EQUITY UCITS,ΑΔΑΚ,MTF,Equity,XATH,,,2018-01-02
GRK014011008,MERMEREN KOMBINAT A.D. PRILEP(GDR),ΜΕΡΚΟ,Stock,,XATH,Basic Materials,Other Industrial Metals & Mining,2018-01-02
GRS001003037,ATTICA BANK S.A,ΑΤΤ,Stock,,XATH,Financial Services,Banks - Regional,2018-01-02
GRS003003035,NATIONAL BANK OF GREECE,ΕΤΕ,Stock,Large Cap,XATH,,,2018-01-02
GRS004013009,BANK OF GREECE (CR),ΕΛΛ,Stock,,XATH,Financial Services,Banks - Regional,2018-01-02
GRS014003032,PIRAEUS FINANCIAL HOLDINGS S.A.,ΠΕΙΡ,Stock,Large Cap,XATH,Financial Services,Banks - Regional,2018-01-02
GRS015003007,ALPHA SERVICES AND HOLDINGS S.A.,ΑΛΦΑ,Stock,Large Cap,XATH,Financial Services,Banks - Regional,2018-01-02
GRS045003001,SELECTED TEXTILE IND. ASSOC. S.A. (CR),ΕΠΙΛΚ,Stock,,XATH,Consumer Cyclical,Textile Manufacturing,2018-01-02
GRS047063003,LANAKAM S.A. (CR),ΛΑΝΑΚ,Stock,,XATH,Consumer Cyclical,Textile Manufacturing,2018-01-02
GRS054003009,EL. D. MOUZAKIS S.A. (CR),ΜΟΥΖΚ,Stock,,XATH,Consumer Cyclical,Textile Manufacturing,2019-09-05
GRS054061007,EL. D. MOUZAKIS  S.A. (CB),ΜΟΥΖΚ,Stock,,XATH,,,2018-01-02
GRS059063008,WOOL  INDUSTRY  TRIA  ALFA S.A. (CR),ΑΑΑΚ,Stock,,XATH,Consumer Cyclical,Textile Manufacturing,2018-01-02
GRS059064006,WOOL  INDUSTRY  TRIA  ALFA S.A. (PR),ΑΑΑΠ,Stock,,XATH,Consumer Cyclical,Textile Manufacturing,2018-01-02
GRS065003014,PAPOUTSANIS S.A. (CR),ΠΑΠ,Stock,,XATH,Consumer Defensive,Household & Personal Products,2018-01-02
GRS070003009,KEKROPS S.A. (CR),ΚΕΚΡ,Stock,,XATH,,,2018-01-02
GRS074083007,TITAN CEMENT COMPANY S.A. (CR),ΤΙΤΚ,Stock,,XATH,,,2018-01-02
GRS074084005,TITAN CEMENT COMPANY S.A. (PR),ΤΙΤΠ,Stock,,XATH,,,2018-01-02
GRS079103008,NEXANS HELLAS S.A. (CR),ΑΛΚΑΤ,Stock,,XATH,,,2018-01-02
GRS083003012,F.G. EUROPE S.A. (CR),ΕΦΤΖΙ,Stock,,XATH,,,2018-01-02
GRS084003011,UNIBIOS HOLDINGS S.A.,ΒΙΟΣΚ,Stock,,XATH,Industrials,Pollution & Treatment Controls,2018-01-02
GRS087003000,INTRACOM S.A. HOLDINGS (CR),ΙΝΤΚΑ,Stock,,XATH,Technology,Communication Equipment,2018-09-14
GRS087103008,INTRACOM S.A. HOLDINGS (CR),ΙΝΤΚΑ,Stock,,XATH,,,2018-01-02
GRS088003017,ELASTRON  S.A. (CR),ΕΛΣΤΡ,Stock,,XATH,Basic Materials,Steel,2018-01-02
GRS090003005,N. LEVEDERIS S.A.  (CR),ΛΕΒΚ,Stock,,XATH,Basic Materials,Steel,2019-08-12
GRS090004003,N. LEVEDERIS S.A.  (PR),ΛΕΒΠ,Stock,,XATH,Basic Materials,Steel,2019-08-12
GRS090101007,N. LEVEDERIS S.A.  (CB),ΛΕΒΚ,Stock,,XATH,,,2018-01-02
GRS090106006,N. LEVEDERIS S.A.  (PB),ΛΕΒΠ,Stock,,XATH,,,2018-01-02
