exchangeID,marketID,name,description,country,tradingDays,tradingHours,marketClass
AEDAK,AEDAK,AEDAK Funds,Mutual funds offered by EFG Eurobank and Deutsche Bank,Greece,"Mon,Tue,Wed,Thu,Fri",08:15-15:20,Public Securities
XAMS,ALXA,Euronext - Growth Amsterdam,"The Euronext is a pan-European bourse providing trading services. This is the Euronext Growth market operating in Amsterdam, Netherlands. Euronext Growth is suited to small and mid sized companies (SMEs).  Investors can trade here stocks, bonds, stock options, index options and index futures.",Netherlands,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,Public Securities
XBRU,ALXB,Euronext - Growth Brussels,"The Euronext is a pan-European bourse providing trading services. This is the Euronext Growth market operating in Brussels. Euronext Growth is suited to small and mid sized companies (SMEs). Investors can trade here stocks, bonds and index funds.",Belgium,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,Public Securities
XPAR,ALXP,Euronext - Growth Paris,"The Euronext is a pan-European bourse providing trading services. This is the Euronext Growth market operating in Paris, France. Euronext Growth is suited to small and mid sized companies (SMEs).  Investors can trade here stocks, bonds, ETFs, options, futures, commodities, warrants and other securities",France,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,Public Securities
XLUX,CCLX,Finesti S.A.,Finesti is a Luxembourg-based company for managing of data related to investment funds. It was founded in 1995 and it is part of the Luxembourg Stock Exchange.,Luxembourg,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,Public Securities
ATHEX,ENAX,Athens Stock Exchange Alternative Market,"The Athens Stock Exchange (ASE or ATHEX) is the stock exchange of Greece, based in the capital city of Athens. It was founded in 1876. This is a secondary market, addressed to SMEs and early-stage business development companies.",Greece,"Mon,Tue,Wed,Thu,Fri",08:15-15:20,Public Securities
XLIS,ENXL,Euronext Access Lisbon,"The Euronext is a pan-European bourse providing trading services. This is the Euronext Access market operating in Lisbon, Portugal. Euronext Growth is suited to start-ups and SMEs.  Investors can trade here stocks, bonds, ETFs and warrants.",Portugal,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,Public Securities
HDAT,HDAT,Electronic Secondary Securities Market,"The Electronic Secondary Securities Market (HDAT) is  a secondary market operated by the Bank of Greece. It was founded in 1999. Investors can trade Greek governement securities, bonds, fixed-income debt securities.",Greece,"Mon,Tue,Wed,Thu,Fri",08:15-15:20,Public Securities
MTAA,MTAA,Borsa Italiana,"Borsa Italiana is the Italian Stock Exchange, based in Milan. It is expected to be rebranded as Euronext Milan. It was founded in 1808. Investors can trade stocks, ETPs, funds, derivatives and bonds.",Italy,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,Public Securities
OOTC,OOTC,Other OTC,"Securities in this market are sold by their owner. These are stocks, bonds and other financial securities which are traded directly between two parties, instead of on a public stock market.",-,"Mon,Tue,Wed,Thu,Fri",,Public Securities
XMTS,PORT,MTS Portugal,MTS Portugal was a regulated market for trading of Portuguese government securities. MTS is no longer trading since the end of 2019.,Portugal,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,Public Securities
XAMS,XAMS,Euronext - Euronext Amsterdam,"The Euronext is a pan-European bourse providing trading services. This is the Euronext market operating in Amsterdam, Netherlands. Investors can trade here stocks, bonds, stock options, index options and index futures.",Netherlands,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,Public Securities
XDUB,XASM,Irish Stock Exchange Global Exchange Market,"The Irish Stock Exchange (also known as Euronext Dublin) is Ireland's main stock exchange, based in Dublin. It was founded in 1793. Investors can trade stocks, bonds, Irish government onds, funds and ETFs.",Ireland,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,Public Securities
XASX,XASX,Australia Securities Exchange All Markets,"The Australian Securities Exchange is the primary securities exchange in Australia. Investors can trade equities, fixed income, commodities and energy.",Australia,"Mon,Tue,Wed,Thu,Fri",00:00-06:00,Public Securities
ATHEX,XATH,Athens Exchange S.A. Cash Market,"The Athens Stock Exchange (ASE or ATHEX) is the stock exchange of Greece, based in the capital city of Athens. It was founded in 1876. This is the main trading market, known as the regulated securities market. Here investors can trade in stocks, bonds, ETFs and other related securities.",Greece,"Mon,Tue,Wed,Thu,Fri",08:15-15:20,Public Securities
BMEX,XBAR,Borsa de Barcelona,"Borsa de Barcelona is a Spanish stock exchange, based in Barcelona. It was founded in 1915. It is exclusively dedicated to the trade of shares and convertible values. ",Spain,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,Public Securities
XBER,XBER,Boerse Berlin,"The Boerse Berlin (or Berlin Stock Exchange) is a stock exchange based in Berlin, Germany. It was founded in 1685. Investors can trade stocks and bonds.",Germany,"Mon,Tue,Wed,Thu,Fri",07:00-21:00,Public Securities
XCIE,XCIE,The International Stock Exchange,"The Internationa Stock Exchange (TISE) is a stock exchange based in St. Peter Port, Guernsey. It was founded in 2013. Investors can trade equities and bonds",United Kingdom,"Mon,Tue,Wed,Thu,Fri",09:00-16:30,Public Securities
XCYS,XCYS,Cyprus Stock Exchange,"The Cyprus Stock Exchange (CSE) is the stock exchange of Cyprus, based in Nicosia. It was founded in 1996. Investors can trade shares and bonds.",Cyprus,"Mon,Tue,Wed,Thu,Fri",08:30-15:00,Public Securities
XDUB,XDUB,Irish Stock Exchange All Markets,"The Irish Stock Exchange (also known as Euronext Dublin) is Ireland's main stock exchange, based in Dublin. It was founded in 1793. Investors can trade stocks, bonds, Irish government onds, funds and ETFs.",Ireland,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,Public Securities
XETR,XETR,Xetra,Xetra is a trading venue operated by the Frankfurt Stock Exchange. It is the reference market for German equities and ETFs.,Germany,"Mon,Tue,Wed,Thu,Fri",07:00-21:00,Public Securities
XHEL,XHEL,NASDAQ Helsinki Limited,"NASDAQ Helsinki is a stock exchange located in Helsinki, Finland. It was founded in 1912. Investors can trade stocks.",Finland,"Mon,Tue,Wed,Thu,Fri",08:00-16:00,Public Securities
XHKG,XHKG,Hong Kong Exchanges and Clearing Ltd,"Hong Kong Exchanges and Clearing Limited  operates a range of equity, commoditiy, fixed income and currency markets. It was founded in 2000.",China,"Mon,Tue,Wed,Thu,Fri",02:30-09:30,Public Securities
XLON,XLON,London Stock Exchange,"The London Stock Exchange (LSE) is a stock exchange based in the City of London, England. It was founded in 1801 and it is the most-valued stock exchange in Europe. Investors can trade stocks, bonds and ETFs.",United Kingdom,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,Public Securities
XLUX,XLUX,Luxembourg Stock Exchange,The Luxembourg Stock Exchange is a stock exchange based in Luxembourgh City. It was founded in 1928. It primarily specializes in the listing of international bonds.,Luxembourg,"Mon,Tue,Wed,Thu,Fri",07:00-15:30,Public Securities
BMEX,XMAD,Bolsa de Madrid,"Bolsa de Madrid is the largest and most international of Spanish stock exchanges. It was founded in 1831. Investors can trade shares, convertible bonds and fixed income securities, as well as both government and private-sector debt. It is owned by Bolsas y Mercados Espanoles (BME)",Spain,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,Public Securities
XMOD,XMOD,The Montreal Exchange / Bourse de Montreal,"The Montreal Exchange is a derivatives exchange located in Montreal, Canada. It was founded in 1965. Investors can trade futures contracts and options on equities, indices, currencies, ETFs, energy and interest rates.",Canada,"Mon,Tue,Wed,Thu,Fri",07:00-21:30,Public Securities
XMUN,XMUN,Boerse Muenchen,"The Börse München is a stock exchange based in Munich, Germany. It was founded in 1830. In this market, investors can trade in stocks, bonds, funds, ETFs and derivatives.",Germany,"Mon,Tue,Wed,Thu,Fri",07:00-21:00,Public Securities
XNAS,XNAS,NASDAQ All Markets,"NASDAQ (National Association of Securities Dealears Automated Quotations) is an American stock exchange based in New York. It is the most active stock trading venue in the USA by volume. It was founded in 1971. Investors can trade stocks, options, ETfs, mutual funds, commodities, cryptocurrencies or futures, among other securities.",USA,"Mon,Tue,Wed,Thu,Fri",14:30-21:00,Public Securities
XNEC,XNEC,National Stock Exchange of Australia Limited,"The National Stock Exchange of Australia is a stock exchange based in Sidney. It was founded in 1937. Investors can exchange equities, debt and managed investment schemes.",Australia,"Mon,Tue,Wed,Thu,Fri",00:00-06:00,Public Securities
XNAS,XNGS,NASDAQ/NGS (Global Select Market),"NASDAQ (National Association of Securities Dealears Automated Quotations) is an American stock exchange based in New York. It is the most active stock trading venue in the USA by volume. It was founded in 1971. This market is the Global Select Market,which has the highest initial listing standards. Investors can trade stocks, options, ETfs, mutual funds, commodities, cryptocurrencies or futures, among other securities.",USA,"Mon,Tue,Wed,Thu,Fri",14:30-21:00,Public Securities
XNAS,XNMS,NASDAQ/NMS (Global Market),"NASDAQ (National Association of Securities Dealears Automated Quotations) is an American stock exchange based in New York. It is the most active stock trading venue in the USA by volume. It was founded in 1971. This market is the Global Market,the second U.S. market tier, listing companies with global leadership and international reach. Investors can trade stocks, options, ETfs, mutual funds, commodities, cryptocurrencies or futures, among other securities.",USA,"Mon,Tue,Wed,Thu,Fri",14:30-21:00,Private Securities
XNYS,XNYS,New York Stock Exchange,"The New York Stock Exchange (NYSE) is an American stock exchange. It was founded in 1792 and it is the largest stock exchange worldwide. Investors can trade stocks, bonds, options and ETPs.",USA,"Mon,Tue,Wed,Thu,Fri",14:30-21:00,Public Securities
XOSL,XOSL,Oslo Bors,"The Oslo Bors (or Oslo Stock Exchange) is the only regulated market in Norway, based in Oslo. It was founded in 1819. Investors can trade equities, derivatives and fixed income instruments.",Norway,"Mon,Tue,Wed,Thu,Fri",08:00-15:20,Public Securities
XPAR,XPAR,Euronext - Euronext Paris,"The Euronext is a pan-European bourse providing trading services. This is the Euronext market operating in Paris, France. Investors can trade here stocks, bonds, ETFs, options, futures, commodities, warrants and other securities",France,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,Public Securities
XSTU,XSTU,Boerse Stuttgart,"Boerse Stuttgart (SWB) is the second largest stock exchange in Germany, based in Stuttgart. It was founded in 1860. Investors can trade stocks, bonds, warrants, ETPs, funds, etc.",Germany,"Mon,Tue,Wed,Thu,Fri",07:00-21:00,Public Securities
XSWX,XSWX,SIX Swiss Exchange,"The SIX Swiss Exchange is Switzerland's principal stock exchange. It was founded in its current form in 1993. Investors can trade stocks, Swiss government bonds and derivatives.",Switzerland,"Mon,Tue,Wed,Thu,Fri",08:00-16:30,EFG Eurobank Mutual Funds
ATHEX,EBB,Electronic Book Building Athex,"The EBB (Electronic Book Building)  is a service offered by ATHEX to support fund-raising process through ATHEX. It is a mechanism provided centrally in the trading order routing system, in an attempt to use the network of ATHEX members and their clients.",Greece,"Mon,Tue,Wed,Thu,Fri",08:15-15:20,Public Securities
